sample	pltFamily	pltGenus	plant	Order	Family	Genus	Species	Sex	jdate	caldate	tsect	meter
1	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		178	2012-06-27	2	48
2	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Anthomyiidae	Botanophila	Botanophila sp.1	f	178	2012-06-27	2	48
3	Liliaceae	Erythronium	Erythronium grandiflorum	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	m	178	2012-06-27	2	48
4	Liliaceae	Erythronium	Erythronium grandiflorum	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		178	2012-06-27	2	48
14	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia sp.1	f	179	2012-06-28	2	48
15	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Muscidae		 		179	2012-06-28	3	46
19	Liliaceae	Erythronium	Erythronium grandiflorum	Diptera	Muscidae		 		180	2012-06-29	2	77
20	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	f	180	2012-06-29	2	77
21	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Botanophila	Botanophila sp.2	f	180	2012-06-29	2	77
22	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Empididae	Rhamphomyia	Rhamphomyia empis spp.		180	2012-06-29	2	77
23	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	180	2012-06-29	3	70
24	Liliaceae	Erythronium	Erythronium grandiflorum	Lepidoptera	Crambidae	Pyrausta	Pyrausta c.f. subsequalis		180	2012-06-29	3	70
25	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Andrenidae	Andrena	Andrena sp.1		180	2012-06-29	3	70
26	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Muscidae	Phaonia	Phaonia protuberans	f	180	2012-06-29	3	70
27	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia sp.1	f	181	2012-06-30	1	20
28	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	m	181	2012-06-30	1	20
29	Liliaceae	Erythronium	Erythronium grandiflorum	Hymenoptera	Apidae	Bombus	Bombus flavifrons	queen	181	2012-06-30	1	20
30	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		181	2012-06-30	1	20
31	Liliaceae	Erythronium	Erythronium grandiflorum	Hymenoptera	Apidae	Bombus	Bombus flavifrons	queen	181	2012-06-30	1	20
32	Portulacaceae	Claytonia	Claytonia lanceolata	Hymenoptera	Tenthridinidae	Macrophya	Macrophya sp.1		181	2012-06-30	1	20
33	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	m	181	2012-06-30	1	20
34	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Anthomyiidae	Paregle/Adia	Paregle/Adia spp.	f	181	2012-06-30	2	5
35	Liliaceae	Erythronium	Erythronium grandiflorum	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		181	2012-06-30	2	5
36	Liliaceae	Erythronium	Erythronium grandiflorum	Hymenoptera	Halictidae	Lasioglossum	Lasioglossum sp.1		181	2012-06-30	2	5
37	Ranunculaceae	Ranunculus	Ranunculus eschscholtzii	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	181	2012-06-30	2	5
45	Portulacaceae	Claytonia	Claytonia lanceolata	Hemiptera	Hemiptera fam.	Hemiptera gen.	Hemiptera sp.1		182	2012-07-01	2	92
46	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Syrphidae	Hiatomyia	Hiatomyia hecate	f	182	2012-07-01	2	92
47,1	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Pegomya	Pegomya spp.	m	182	2012-07-01	2	92
47,2	Saxifragaceae	Saxifraga	Saxifraga nivalis	Diptera	Anthomyiidae	Eremomyioides	Eremomyioides spp.	f	182	2012-07-01	2	92
48	Portulacaceae	Claytonia	Claytonia lanceolata	Diptera	Syrphidae	Eupeodes	Eupeodes lapponicus	m	188	2012-07-07	1	39
